"시도별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018
"시도별(1)",일산화탄소(CO),질산화물(NOx),황산화물(SOx),총먼지(TSP),미세먼지(PM10),미세먼지(PM2.5),Black Carbon(BC),휘발성유기화합물(VOC) ,암모니아(NH₃)
"전국",808800577,1153264689,300979491,617480680,232993218,98387932,15561636,1035635721,315974862
"서울특별시",59091323,88318614,1095384,31068615,15129997,3973381,1498115,72392596,3469369
"부산광역시",26661660,49950866,7897187,17031459,6885594,2644114,525045,42340472,1619633
"대구광역시",17213386,26369636,2595203,10707805,3911124,1293610,338163,31875289,1668164
"인천광역시",42473267,54996410,12165228,22496356,7601495,2701129,607477,55060920,7166199
"광주광역시",7955525,12270179,172932,5225274,1710002,546285,153216,15721745,967862
"대전광역시",10659806,16050799,492180,5270663,1908298,653448,219448,16758270,764088
"울산광역시",31399616,48718539,42794244,8932378,4079779,2274013,298484,91961349,15129468
"세종특별자치시",4956050,5260258,79732,2500427,1024217,345444,122819,5961807,2759517
"경기도",136960058,178980916,8859353,84050233,31342317,10487681,3109508,190939659,47387368
"강원도",50995652,79834417,13802481,36165196,9771796,4109457,748947,30262580,14848233
"충청북도",42066531,60898861,7222625,32096166,9461854,3591283,852934,43144277,16981034
"충청남도",65226479,107613430,69989410,81840902,37203474,18129171,1317944,78132426,53162788
"전라북도",46256989,38561770,3760826,42097476,10629234,3562598,773400,69845741,35196862
"전라남도",64643232,105268745,58621175,71464132,28206197,13155832,1129608,88957759,43726932
"경상북도",96585111,104097649,37717738,107358028,45299533,22006791,2055265,89303873,36543850
"경상남도",49198641,73050059,22596196,45799289,11984146,4726004,1031456,89168391,26920346
"제주특별자치도",11130074,17284695,1835756,10027606,3495486,1065148,223209,8999552,7655447
"바다",45327175,85738845,9281842,3348673,3348673,3122543,556598,14809015,7702
